LogIndex,PCDate,PCTime,MEActFOCons,DGActFOCons,BlrActFOCons,MEActMGOCons,DGActMGOCons,BlrActMGOCons,MEAccFOCons,DGAccFOCons,BlrAccFOCons,DGAccMGOCons,BlrAccMGOCons,MEFOInTemp,DGFOInTemp,BlrFOInTemp,DGMGOInTemp,BlrMGOInTemp,FCMFODensity,DGFODensity,BlrFODensity,DGMGODensity,BlrMGODensity,DG1Power,DG2Power,DG3Power,MESFOC_kw,MESFOC_nmile,MERpm,METorque,MEShaftPow,ShipSpdToWater,ShipSpd,ShipHeel,ShipTrim,ShipDraft,ShipSlip,WindSpd,WindDir,Latitude,Longitude,ShipDraughtBow,ShipDraughtAstern,ShipDraughtMidLft,ShipDraughtMidRgt
1,2020/3/1,0:00:06,300.5684204 ,379.9942627,0,0,0,0,1787793.156,395462.5938,66601.75781,8230.599609,1858.788086,76.63906097,90.27514648,82.6390625,512.5806885,25.2171875,890.5205688,514.7490234,823.4960327,30.87597466,838.8612061,1027,802,0,220.843811,31.30920982,47,277,1361,9.6,9.552,0.14,1.76,8.2,-1.065702558,23.1,28,28.40 N,123.25 E,7.32,9.08,7.57,7.43
2,2020/3/1,0:00:18,294.8908691,379.765625,0,0,0,0,1787793.672,395464.3281,66601.75781,8230.599609,1858.788086,76.63906097,90.32608795,82.63125,512.6276245,25.209375,890.4022827,514.6661987,823.7669067,30.86881638,838.9983521,1025,798,0,221.8892975,31.04114342,46,272,1329,9.5,9.552,-0.04,1.68,8.22,-2.187129021,23.3,27,28.40 N,123.25 E,7.38,9.06,7.58,7.62
3,2020/3/1,0:00:28,293.7893677,378.1069336,0,0,0,0,1787793.828,395465.6719,66601.75781,8230.599609,1858.788086,76.63906097,90.23040009,82.615625,512.4649048,25.2171875,890.4424438,514.8253784,823.1871948,30.91852379,839.2980347,1019,803,0,221.2269287,30.92519569,46,272,1328,9.5,9.561,0.17,1.92,8.11,-2.187129021,24.3,28,28.40 N,123.25 E,7.15,9.07,7.72,7.55
4,2020/3/1,0:00:38,296.9045715,379.5336609,0,0,0,0,1787794.391,395467.1094,66601.75781,8230.599609,1858.788086,76.65468597,90.20874023,82.615625,512.5502319,25.209375,890.3053589,514.8495483,823.616333,30.91536713,839.2873535,1036,814,0,220.7468872,31.58559227,47,274,1345,9.4,9.561,0.02,2.25,8.025,1.03983295,24.2,26,28.40 N,123.25 E,6.9,9.15,7.68,7.66
5,2020/3/1,0:00:50,291.8823853,383.7939453,0,0,0,0,1787794.922,395468.8281,66601.75781,8230.599609,1858.788086,76.63906097,90.16559601,82.6078125,512.5202026,25.2015625,890.5061035,514.9243164,823.6400757,30.8987751,839.4103394,1024,804,0,215.8893433,30.72446251,46,274,1352,9.5,9.561,0.04,2.2,8.02,-2.187129021,25.4,27,28.40 N,123.25 E,6.92,9.12,7.65,7.61
6,2020/3/1,0:01:00,294.2294312,382.0136719,0,0,0,0,1787795.344,395470.4063,66601.75781,8230.599609,1858.788086,76.63124847,90.05929565,82.6078125,512.486145,25.209375,890.4241333,515.0835571,823.7203979,30.91521263,839.1287842,1034,808,0,223.4088287,30.97151947,46,270,1317,9.5,9.566,-0.14,2.14,8.06,-2.187129021,24.4,27,28.40 N,123.25 E,6.99,9.13,7.67,7.81
7,2020/3/1,0:01:10,296.8587646,380.4537354,0,0,0,0,1787796,395471.75,66601.75781,8230.599609,1858.788086,76.62343597,90.03782654,82.5921875,512.5079346,25.2171875,890.4778442,515.1127319,823.5552979,30.90255356,838.9688721,1031,808,0,223.0343781,31.24829102,46,272,1331,9.5,9.582,0.18,1.77,8.125,-2.187129021,24.4,27,28.40 N,123.25 E,7.24,9.01,7.62,7.44
8,2020/3/1,0:01:20,290.2593689,387.4889832,0,0,0,0,1787796.313,395473.1875,66601.75781,8230.599609,1858.788086,76.63906097,90.09287262,82.615625,512.473999,25.2015625,890.432373,515.036499,823.0668945,30.90139198,839.3963623,1038,826,0,214.8477936,30.55361748,46,275,1351,9.5,9.571,0.09,1.9,8.16,-2.187129021,24.9,28,28.40 N,123.25 E,7.21,9.11,7.61,7.52
9,2020/3/1,0:01:32,297.920166,381.8621826,0,0,0,0,1787796.828,395474.9219,66601.75781,8230.599609,1858.788086,76.64687347,90.16471863,82.5921875,512.5283203,25.2015625,890.307312,514.9057007,824.031189,30.89540672,838.9907227,1032,810,0,221.3374176,31.36001778,46,275,1346,9.5,9.571,0.43,2.13,8.055,-2.187129021,24.1,30,28.40 N,123.25 E,6.99,9.12,7.51,7.08
10,2020/3/1,0:01:42,284.983429,395.3940125,0,0,0,0,1787797.328,395476.4219,66601.75781,8230.599609,1858.788086,76.61562347,90.16264343,82.5921875,512.5934448,25.2015625,890.6027222,514.9006958,823.6962891,30.89660263,838.7197876,1060,841,0,212.357254,29.99825478,46,273,1342,9.5,9.571,0.29,2.06,8.13,-2.187129021,23.9,28,28.40 N,123.25 E,7.1,9.16,7.6,7.31
11,2020/3/1,0:01:52,295.0987549,385.2865601,0,0,0,0,1787797.906,395477.8438,66601.75781,8230.599609,1858.788086,76.62343597,90.2563324,82.584375,512.4538574,25.2015625,890.414856,514.75354,823.8775024,30.91236687,838.7902222,1051,834,0,221.3794098,31.06302643,46,272,1333,9.5,9.563,-0.17,2.23,8.015,-2.187129021,23.1,28,28.40 N,123.25 E,6.9,9.13,7.62,7.79
12,2020/3/1,0:02:04,288.8662415,385.9397888,0,0,0,0,1787798.438,395479.5625,66601.75781,8230.599609,1858.788086,76.62343597,90.19863129,82.584375,512.5321045,25.19375,890.6165161,514.8307495,824.2476807,30.89427185,839.3946533,1023,800,0,220.5085754,30.09023285,46,268,1310,9.6,9.573,-0.08,2.19,8.055,-3.262783051,22.5,30,28.40 N,123.25 E,6.96,9.15,7.57,7.65
13,2020/3/1,0:02:14,294.3836975,380.6213074,0,0,0,0,1787798.75,395481,66601.75781,8230.599609,1858.788086,76.63906097,90.10901642,82.5765625,512.5552979,25.209375,890.371521,514.9607544,824.0408325,30.93110847,839.104126,1011,794,0,219.1985779,30.98775673,46,273,1343,9.5,9.573,0.2,2.03,8.115,-2.187129021,23.3,27,28.40 N,123.25 E,7.1,9.13,7.65,7.45
14,2020/3/1,0:02:24,288.4110718,385.3774414,0,0,0,0,1787799,395482.5,66601.75781,8230.599609,1858.788086,76.64687347,90.18593597,82.5765625,512.5341797,25.19375,890.3223267,514.84198,823.7851563,30.90429497,838.9896851,1030,812,0,215.3928833,30.35906029,47,273,1339,9.5,9.574,-0.07,2.19,8.065,-0.01293477,24,30,28.41 N,123.25 E,6.97,9.16,7.67,7.74
15,2020/3/1,0:02:36,289.1610107,386.9118042,0,0,0,0,1787799.453,395484.2969,66601.75781,8230.599609,1858.788086,76.65468597,90.16609192,82.5765625,512.5940552,25.209375,890.1051025,514.8734741,823.4447632,30.88392639,838.9804077,1030,818,0,222.7742767,30.43800163,45,267,1298,9.5,9.574,-0.24,2.29,7.905,-4.45795393,24.3,30,28.41 N,123.25 E,6.76,9.05,7.61,7.85
16,2020/3/1,0:02:46,297.9292297,378.6249695,0,0,0,0,1787800.094,395485.6563,66601.75781,8230.599609,1858.788086,76.63906097,90.24064636,82.5765625,512.6060791,25.2015625,890.227478,514.744812,823.8814697,30.8873806,838.9803467,1018,796,0,224.8522491,31.03429413,46,270,1325,9.6,9.574,0.09,2.8,7.87,-3.262783051,23.8,30,28.41 N,123.25 E,6.47,9.27,7.59,7.5
17,2020/3/1,0:02:56,295.2087708,382.5527649,0,0,0,0,1787800.422,395487.0781,66601.75781,8230.599609,1858.788086,76.63124847,90.22480774,82.553125,512.5233765,25.19375,890.3236084,514.7756348,823.6582642,30.90067291,838.9489746,1036,819,0,219.3230133,30.75091362,46,274,1346,9.6,9.574,-0.28,2.16,8.02,-3.262783051,24.2,27,28.41 N,123.25 E,6.94,9.1,7.54,7.82
18,2020/3/1,0:03:09,289.8013306,381.4823608,0,0,0,0,1787800.922,395488.5781,66601.75781,8230.599609,1858.788086,76.60781097,90.21549225,82.5375,512.4304199,25.19375,890.5394287,514.7891235,824.0483398,30.91478539,838.8106689,1034,826,0,221.0536499,30.50540352,47,269,1311,9.5,9.582,-0.03,2.47,8.005,-0.01293477,25.5,28,28.41 N,123.25 E,6.77,9.24,7.71,7.74
19,2020/3/1,0:03:19,289.7843323,383.2599792,0,0,0,0,1787801.438,395490.3125,66601.75781,8230.599609,1858.788086,76.57656097,90.21437836,82.553125,512.5906982,25.209375,890.40979,514.802002,823.7067871,30.90236855,838.6466675,1032,822,0,222.3977966,30.18586731,46,268,1303,9.6,9.582,-0.05,2.43,8.005,-3.262783051,25,30,28.41 N,123.25 E,6.79,9.22,7.73,7.78
20,2020/3/1,0:03:29,293.8716431,382.7054443,0,0,0,0,1787802.078,395491.6719,66601.75781,8230.599609,1858.788086,76.62343597,90.2061615,82.5375,512.4960327,25.2015625,890.2972412,514.8146973,823.9559326,30.89928055,839.1307983,1033,824,0,217.6826935,30.61162949,46,275,1350,9.6,9.569,-0.06,1.93,8.105,-3.262783051,24.8,27,28.41 N,123.25 E,7.14,9.07,7.7,7.76
21,2020/3/1,0:03:39,295.0434265,380.3259583,0,0,0,0,1787802.344,395493.1563,66601.75781,8230.599609,1858.788086,76.61562347,90.23189545,82.5296875,512.5357056,25.19375,890.463623,514.7756348,823.7555542,30.86936951,839.0041504,1020,804,0,220.3460999,30.73369026,47,275,1339,9.6,9.569,-0.16,1.97,8.085,-1.065702558,24.1,27,28.41 N,123.25 E,7.1,9.07,7.68,7.84
22,2020/3/1,0:03:51,298.344635,376.7307434,0,0,0,0,1787802.859,395494.8906,66601.75781,8230.599609,1858.788086,76.62343597,90.15818024,82.5296875,512.5001221,25.19375,890.3433838,514.8991089,823.9091187,30.90830994,839.3475952,1013,798,0,218.5675049,31.07756615,47,277,1365,9.6,9.575,0.03,2.03,8.105,-1.065702558,23,26,28.41 N,123.25 E,7.09,9.12,7.54,7.51
23,2020/3/1,0:04:01,291.5793152,379.0340271,0,0,0,0,1787803.188,395496.3125,66601.75781,8230.599609,1858.788086,76.59999847,90.169487,82.50625,512.4737549,25.2015625,890.5049438,514.8880615,823.5039063,30.88614464,838.8986206,1028,810,0,225.8553925,30.6925602,46,267,1291,9.5,9.575,-0.23,2.11,8.155,-2.187129021,24.3,27,28.41 N,123.25 E,7.1,9.21,7.53,7.76
24,2020/3/1,0:04:11,299.6400146,377.8337402,0,0,0,0,1787803.75,395497.75,66601.75781,8230.599609,1858.788086,76.60781097,90.23641205,82.4828125,512.5093994,25.209375,890.513855,514.7888794,825.4255371,30.88874435,838.8582153,1039,814,0,228.7328339,31.54105377,46,268,1310,9.5,9.577,0.17,2.28,8.04,-2.187129021,24.1,26,28.41 N,123.25 E,6.9,9.18,7.72,7.55
25,2020/3/1,0:04:23,287.230072,384.5140076,0,0,0,0,1787804.281,395499.4688,66601.75781,8230.599609,1858.788086,76.59999847,90.21585083,82.5296875,512.4851685,25.2015625,890.4009399,514.807251,824.0168457,30.9083004,838.6674805,1042,824,0,215.3148956,29.9197998,46,271,1334,9.6,9.577,0.32,1.76,8.22,-3.262783051,24.3,27,28.41 N,123.25 E,7.34,9.1,7.74,7.42
26,2020/3/1,0:04:33,283.3085022,392.6133728,0,0,0,0,1787804.594,395500.9063,66601.75781,8230.599609,1858.788086,76.60781097,90.28095245,82.521875,512.4205322,25.2015625,890.279541,514.7340698,824.1437378,30.91793251,839.2280884,1038,824,0,215.6076813,29.51130295,46,269,1314,9.6,9.577,0.26,2.29,8.045,-3.262783051,24,27,28.41 N,123.25 E,6.9,9.19,7.68,7.42
27,2020/3/1,0:04:43,291.6410522,382.8787231,0,0,0,0,1787805.109,395502.3906,66601.75781,8230.599609,1858.788086,76.59218597,90.20864105,82.4984375,512.5216675,25.209375,890.3961792,514.8414917,824.3897705,30.88499641,839.1798706,1004,784,0,215.0745239,30.37927628,46,274,1356,9.6,9.564,-0.01,1.68,8.23,-3.262783051,23.8,27,28.41 N,123.25 E,7.39,9.07,7.54,7.55
28,2020/3/1,0:04:55,293.0758972,382.5017395,0,0,0,0,1787805.625,395504.125,66601.75781,8230.599609,1858.788086,76.62343597,90.18587494,82.490625,512.4310913,25.2015625,890.5203247,514.8998413,823.857605,30.90667915,838.8849487,1042,816,0,217.4153595,30.52873993,47,275,1348,9.6,9.564,-0.4,2,8.07,-1.065702558,24,26,28.41 N,123.25 E,7.07,9.07,7.39,7.79
29,2020/3/1,0:05:05,298.9527588,375.8834839,0,0,0,0,1787806.203,395505.5469,66601.75781,8230.599609,1858.788086,76.61562347,90.27192688,82.50625,512.5147095,25.2015625,890.2364502,514.7697144,823.7174072,30.9088192,838.9708862,1018,809,0,228.5571594,31.46871185,46,269,1308,9.5,9.564,0.11,2.04,8.16,-2.187129021,23.7,27,28.41 N,123.25 E,7.14,9.18,7.74,7.63
30,2020/3/1,0:05:15,294.4550781,379.5550537,0,0,0,0,1787806.766,395506.9844,66601.75781,8230.599609,1858.788086,76.61562347,90.26363373,82.4828125,512.5197754,25.2015625,890.3816528,514.7841187,824.1132813,30.89217949,838.9872437,1045,836,0,226.8529053,30.99527168,46,267,1298,9.5,9.548,0.09,2.14,8.13,-2.187129021,24.3,26,28.41 N,123.25 E,7.06,9.2,7.65,7.56
31,2020/3/1,0:05:25,290.0488281,384.2896118,0,0,0,0,1787806.828,395508.4219,66601.75781,8230.599609,1858.788086,76.59218597,90.31035614,82.490625,512.4126587,25.2015625,890.4333496,514.7245483,824.1465454,30.90295792,838.8000488,1038,816,0,221.9195251,30.21341896,47,268,1307,9.6,9.559,0.02,2.19,8.055,-1.065702558,24,27,28.41 N,123.25 E,6.96,9.15,7.7,7.68
32,2020/3/1,0:05:37,281.1901245,390.2121582,0,0,0,0,1787807.359,395510.1406,66601.75781,8230.599609,1858.788086,76.59218597,90.23704529,82.4671875,512.5583496,25.2015625,890.4658813,514.831604,823.8757324,30.87284088,838.9623413,1035,819,0,216.4666138,29.29063797,46,267,1299,9.6,9.542,0.37,1.91,8.185,-3.262783051,24.7,27,28.41 N,123.25 E,7.23,9.14,7.68,7.31
33,2020/3/1,0:05:47,287.6083374,387.3629761,0,0,0,0,1787807.859,395511.6406,66601.75781,8230.599609,1858.788086,76.62343597,90.22350311,82.428125,512.5425415,25.19375,890.3798218,514.8342896,825.4683838,30.8850174,838.7925415,1036,812,0,213.9942932,29.95920181,46,272,1344,9.6,9.542,-0.24,2.26,7.99,-3.262783051,25.1,26,28.41 N,123.25 E,6.86,9.12,7.69,7.93
