Time,FuelConsumptionRate,FuelConsumption,MEFOInTemp,FCMFODensity,MESFOC_kw,MESFOC_nmile,EngineSpeed,METorque,MEShaftPow,ShipSpdToWater,ShipSpd,ShipHeel,ShipTrim,ShipDraft,ShipSlip,WindSpd,WindDirection,Latitude,Longitude
1900-01-01 00:00:06,300.5684204,1787793.156,76.63906097,890.5205688,220.843811,31.30920982,47,277,1361,9.6,9.552,0.14,1.76,8.2,-1.065702558,23.1,28,28.40 N,123.25 E
1900-01-01 00:00:18,294.8908691,1787793.672,76.63906097,890.4022827,221.8892975,31.04114342,46,272,1329,9.5,9.552,-0.04,1.68,8.22,-2.187129021,23.3,27,28.40 N,123.25 E
1900-01-01 00:00:28,293.7893677,1787793.828,76.63906097,890.4424438,221.2269287,30.92519569,46,272,1328,9.5,9.561,0.17,1.92,8.11,-2.187129021,24.3,28,28.40 N,123.25 E
1900-01-01 00:00:38,296.9045715,1787794.391,76.65468597,890.3053589,220.7468872,31.58559227,47,274,1345,9.4,9.561,0.02,2.25,8.025,1.03983295,24.2,26,28.40 N,123.25 E
1900-01-01 00:00:50,291.8823853,1787794.922,76.63906097,890.5061035,215.8893433,30.72446251,46,274,1352,9.5,9.561,0.04,2.2,8.02,-2.187129021,25.4,27,28.40 N,123.25 E
1900-01-01 00:01:00,294.2294312,1787795.344,76.63124847,890.4241333,223.4088287,30.97151947,46,270,1317,9.5,9.566,-0.14,2.14,8.06,-2.187129021,24.4,27,28.40 N,123.25 E
1900-01-01 00:01:10,296.8587646,1787796.0,76.62343597,890.4778442,223.0343781,31.24829102,46,272,1331,9.5,9.582,0.18,1.77,8.125,-2.187129021,24.4,27,28.40 N,123.25 E
1900-01-01 00:01:20,290.2593689,1787796.313,76.63906097,890.432373,214.8477936,30.55361748,46,275,1351,9.5,9.571,0.09,1.9,8.16,-2.187129021,24.9,28,28.40 N,123.25 E
1900-01-01 00:01:32,297.920166,1787796.828,76.64687347,890.307312,221.3374176,31.36001778,46,275,1346,9.5,9.571,0.43,2.13,8.055,-2.187129021,24.1,30,28.40 N,123.25 E
1900-01-01 00:01:42,284.983429,1787797.328,76.61562347,890.6027222,212.357254,29.99825478,46,273,1342,9.5,9.571,0.29,2.06,8.13,-2.187129021,23.9,28,28.40 N,123.25 E
1900-01-01 00:01:52,295.0987549,1787797.906,76.62343597,890.414856,221.3794098,31.06302643,46,272,1333,9.5,9.563,-0.17,2.23,8.015,-2.187129021,23.1,28,28.40 N,123.25 E
1900-01-01 00:02:04,288.8662415,1787798.438,76.62343597,890.6165161,220.5085754,30.09023285,46,268,1310,9.6,9.573,-0.08,2.19,8.055,-3.262783051,22.5,30,28.40 N,123.25 E
1900-01-01 00:02:14,294.3836975,1787798.75,76.63906097,890.371521,219.1985779,30.98775673,46,273,1343,9.5,9.573,0.2,2.03,8.115,-2.187129021,23.3,27,28.40 N,123.25 E
1900-01-01 00:02:24,288.4110718,1787799.0,76.64687347,890.3223267,215.3928833,30.35906029,47,273,1339,9.5,9.574,-0.07,2.19,8.065,-0.01293477,24.0,30,28.41 N,123.25 E
1900-01-01 00:02:36,289.1610107,1787799.453,76.65468597,890.1051025,222.7742767,30.43800163,45,267,1298,9.5,9.574,-0.24,2.29,7.905,-4.45795393,24.3,30,28.41 N,123.25 E
1900-01-01 00:02:46,297.9292297,1787800.094,76.63906097,890.227478,224.8522491,31.03429413,46,270,1325,9.6,9.574,0.09,2.8,7.87,-3.262783051,23.8,30,28.41 N,123.25 E
1900-01-01 00:02:56,295.2087708,1787800.422,76.63124847,890.3236084,219.3230133,30.75091362,46,274,1346,9.6,9.574,-0.28,2.16,8.02,-3.262783051,24.2,27,28.41 N,123.25 E
1900-01-01 00:03:09,289.8013306,1787800.922,76.60781097,890.5394287,221.0536499,30.50540352,47,269,1311,9.5,9.582,-0.03,2.47,8.005,-0.01293477,25.5,28,28.41 N,123.25 E
1900-01-01 00:03:19,289.7843323,1787801.438,76.57656097,890.40979,222.3977966,30.18586731,46,268,1303,9.6,9.582,-0.05,2.43,8.005,-3.262783051,25.0,30,28.41 N,123.25 E
1900-01-01 00:03:29,293.8716431,1787802.078,76.62343597,890.2972412,217.6826935,30.61162949,46,275,1350,9.6,9.569,-0.06,1.93,8.105,-3.262783051,24.8,27,28.41 N,123.25 E
