Time,EngineSpeed,ShipTrim,ShipDraft,WindSpeed,WindDirection,WaterSpeed,FuelConsumptionRate,ShipSpeed,Latitude,Longitude
1900-01-01 00:00:06,47,1.76,8.2,6.4167,28,-0.048,0.3006,4.9139,28.4,123.25
1900-01-01 00:00:18,46,1.68,8.22,6.4722,27,0.052,0.2949,4.9139,28.4,123.25
1900-01-01 00:00:28,46,1.92,8.11,6.75,28,0.061,0.2938,4.9186,28.4,123.25
1900-01-01 00:00:38,47,2.25,8.025,6.7222,26,0.161,0.2969,4.9186,28.4,123.25
1900-01-01 00:00:50,46,2.2,8.02,7.0556,27,0.061,0.2919,4.9186,28.4,123.25
1900-01-01 00:01:00,46,2.14,8.06,6.7778,27,0.066,0.2942,4.9211,28.4,123.25
1900-01-01 00:01:10,46,1.77,8.125,6.7778,27,0.082,0.2969,4.9294,28.4,123.25
1900-01-01 00:01:20,46,1.9,8.16,6.9167,28,0.071,0.2903,4.9237,28.4,123.25
1900-01-01 00:01:32,46,2.13,8.055,6.6944,30,0.071,0.2979,4.9237,28.4,123.25
1900-01-01 00:01:42,46,2.06,8.13,6.6389,28,0.071,0.285,4.9237,28.4,123.25
1900-01-01 00:01:52,46,2.23,8.015,6.4167,28,0.063,0.2951,4.9196,28.4,123.25
1900-01-01 00:02:04,46,2.19,8.055,6.25,30,-0.027,0.2889,4.9247,28.4,123.25
1900-01-01 00:02:14,46,2.03,8.115,6.4722,27,0.073,0.2944,4.9247,28.4,123.25
1900-01-01 00:02:24,47,2.19,8.065,6.6667,30,0.074,0.2884,4.9252,28.41,123.25
1900-01-01 00:02:36,45,2.29,7.905,6.75,30,0.074,0.2892,4.9252,28.41,123.25
1900-01-01 00:02:46,46,2.8,7.87,6.6111,30,-0.026,0.2979,4.9252,28.41,123.25
1900-01-01 00:02:56,46,2.16,8.02,6.7222,27,-0.026,0.2952,4.9252,28.41,123.25
1900-01-01 00:03:09,47,2.47,8.005,7.0833,28,0.082,0.2898,4.9294,28.41,123.25
1900-01-01 00:03:19,46,2.43,8.005,6.9444,30,-0.018,0.2898,4.9294,28.41,123.25
1900-01-01 00:03:29,46,1.93,8.105,6.8889,27,-0.031,0.2939,4.9227,28.41,123.25
1900-01-01 00:03:39,47,1.97,8.085,6.6944,27,-0.031,0.295,4.9227,28.41,123.25
1900-01-01 00:03:51,47,2.03,8.105,6.3889,26,-0.025,0.2983,4.9258,28.41,123.25
1900-01-01 00:04:01,46,2.11,8.155,6.75,27,0.075,0.2916,4.9258,28.41,123.25
1900-01-01 00:04:11,46,2.28,8.04,6.6944,26,0.077,0.2996,4.9268,28.41,123.25
1900-01-01 00:04:23,46,1.76,8.22,6.75,27,-0.023,0.2872,4.9268,28.41,123.25
1900-01-01 00:04:33,46,2.29,8.045,6.6667,27,-0.023,0.2833,4.9268,28.41,123.25
1900-01-01 00:04:43,46,1.68,8.23,6.6111,27,-0.036,0.2916,4.9201,28.41,123.25
1900-01-01 00:04:55,47,2.0,8.07,6.6667,26,-0.036,0.2931,4.9201,28.41,123.25
1900-01-01 00:05:05,46,2.04,8.16,6.5833,27,0.064,0.299,4.9201,28.41,123.25
1900-01-01 00:05:15,46,2.14,8.13,6.75,26,0.048,0.2945,4.9119,28.41,123.25
1900-01-01 00:05:25,47,2.19,8.055,6.6667,27,-0.041,0.29,4.9175,28.41,123.25
1900-01-01 00:05:37,46,1.91,8.185,6.8611,27,-0.058,0.2812,4.9088,28.41,123.25
1900-01-01 00:05:47,46,2.26,7.99,6.9722,26,-0.058,0.2876,4.9088,28.41,123.25
1900-01-01 00:05:57,47,2.05,8.135,6.75,28,-0.059,0.2942,4.9083,28.41,123.25
1900-01-01 00:06:09,47,1.92,8.16,7.1389,27,-0.077,0.2846,4.899,28.41,123.25
1900-01-01 00:06:19,47,2.13,8.085,6.7778,21,-0.07,0.2932,4.9026,28.41,123.25
1900-01-01 00:06:29,46,1.91,8.095,6.6667,28,-0.07,0.2929,4.9026,28.41,123.25
1900-01-01 00:06:41,46,2.13,7.975,6.6111,27,-0.07,0.2873,4.9026,28.41,123.25
1900-01-01 00:06:51,46,2.02,8.12,6.75,27,-0.07,0.294,4.9026,28.41,123.25
1900-01-01 00:07:01,46,2.09,8.165,6.7222,27,-0.095,0.2921,4.8898,28.41,123.25
1900-01-01 00:07:11,46,2.05,8.085,6.7222,27,-0.095,0.2891,4.8898,28.41,123.25
1900-01-01 00:07:23,46,2.3,7.97,6.6944,28,-0.108,0.2943,4.8831,28.41,123.25
1900-01-01 00:07:33,47,2.22,8.07,6.5278,26,-0.108,0.2965,4.8831,28.41,123.25
1900-01-01 00:07:43,47,2.19,8.155,6.6667,24,-0.09,0.2935,4.8923,28.41,123.25
1900-01-01 00:07:55,47,2.2,8.14,6.8611,27,-0.113,0.2956,4.8805,28.41,123.25
1900-01-01 00:08:05,46,2.46,8.06,6.9167,26,-0.113,0.2934,4.8805,28.41,123.25
1900-01-01 00:08:15,46,2.25,8.125,6.6944,26,-0.121,0.2953,4.8764,28.41,123.25
1900-01-01 00:08:27,47,2.38,8.08,6.4167,26,-0.12,0.2926,4.8769,28.41,123.25
1900-01-01 00:08:37,46,1.99,8.155,6.8611,27,-0.117,0.2902,4.8784,28.42,123.25
1900-01-01 00:08:47,46,2.23,8.025,6.75,27,-0.017,0.2958,4.8784,28.42,123.25
1900-01-01 00:08:59,46,2.14,8.06,6.5278,23,-0.017,0.2937,4.8784,28.42,123.25
1900-01-01 00:09:09,46,2.07,8.105,6.4722,26,-0.125,0.2954,4.8743,28.42,123.25
1900-01-01 00:09:19,47,2.16,8.06,6.5278,24,-0.125,0.2985,4.8743,28.42,123.25
1900-01-01 00:09:29,46,2.07,8.115,6.6667,24,-0.022,0.2914,4.8759,28.42,123.25
1900-01-01 00:09:41,47,2.42,7.99,6.8333,28,-0.032,0.2899,4.8707,28.42,123.25
1900-01-01 00:09:51,47,2.5,7.97,6.6111,27,-0.017,0.2885,4.8784,28.42,123.25
1900-01-01 00:10:01,46,2.29,7.945,6.6389,30,-0.017,0.2591,4.8784,28.42,123.25
1900-01-01 00:10:13,46,2.18,8.08,6.6389,33,0.01,0.2542,4.8409,28.42,123.25
1900-01-01 00:10:23,46,2.23,8.085,6.5278,31,0.004,0.26,4.8378,28.42,123.25
1900-01-01 00:10:33,46,2.43,8.015,6.5833,35,-0.074,0.2652,4.7977,28.42,123.25
1900-01-01 00:10:45,46,2.13,8.025,6.4722,37,-0.074,0.2748,4.7977,28.42,123.25
1900-01-01 00:10:55,46,1.87,8.105,6.3056,35,-0.148,0.2819,4.7596,28.42,123.25
1900-01-01 00:11:05,47,1.78,8.2,6.1389,33,-0.078,0.2999,4.7442,28.42,123.25
1900-01-01 00:11:15,46,2.23,8.035,6.2778,33,-0.078,0.3026,4.7442,28.42,123.25
1900-01-01 00:11:27,46,2.52,7.93,6.1944,30,-0.035,0.2985,4.7663,28.42,123.25
1900-01-01 00:11:37,46,2.42,8.05,6.3056,34,-0.14,0.2922,4.7637,28.42,123.25
1900-01-01 00:11:47,46,2.42,8.03,6.3889,34,-0.123,0.2932,4.7725,28.42,123.25
1900-01-01 00:11:59,46,2.3,7.96,6.5278,31,-0.123,0.2862,4.7725,28.42,123.25
1900-01-01 00:12:09,46,2.18,8.0,6.4167,33,-0.131,0.2941,4.7683,28.42,123.25
1900-01-01 00:12:19,47,2.28,8.08,6.3611,35,-0.131,0.2938,4.7683,28.42,123.25
1900-01-01 00:12:32,46,2.3,8.07,6.2778,35,-0.084,0.2957,4.7925,28.42,123.25
1900-01-01 00:12:42,46,2.39,7.975,6.25,28,-0.184,0.2943,4.7925,28.42,123.25
1900-01-01 00:12:52,46,1.95,8.045,6.3889,35,-0.18,0.2964,4.7946,28.42,123.25
1900-01-01 00:13:02,46,2.09,8.045,6.3333,34,-0.168,0.2971,4.8008,28.42,123.25
1900-01-01 00:13:14,46,1.99,8.145,6.25,34,-0.068,0.2899,4.8008,28.42,123.25
1900-01-01 00:13:24,46,2.41,7.995,6.3611,31,-0.046,0.2861,4.8121,28.42,123.25
1900-01-01 00:13:34,46,2.2,8.12,6.3889,34,-0.143,0.2901,4.8136,28.42,123.25
1900-01-01 00:13:46,46,1.91,8.105,6.25,33,-0.126,0.2994,4.8224,28.42,123.25
1900-01-01 00:13:56,47,1.97,8.155,6.2778,30,-0.126,0.2955,4.8224,28.42,123.25
1900-01-01 00:14:06,47,2.35,7.995,6.1667,31,-0.12,0.2955,4.8254,28.42,123.25
1900-01-01 00:14:18,46,2.42,8.0,6.4167,34,-0.095,0.2924,4.8383,28.42,123.25
1900-01-01 00:14:28,46,2.36,7.99,6.2778,33,-0.21,0.2985,4.8306,28.42,123.25
1900-01-01 00:14:38,47,2.02,8.11,6.3611,33,-0.21,0.2895,4.8306,28.42,123.25
1900-01-01 00:14:50,46,2.24,8.09,6.2778,30,-0.197,0.2951,4.8373,28.42,123.25
1900-01-01 00:15:00,46,2.34,8.07,6.25,33,-0.067,0.2958,4.8527,28.42,123.25
